,Insitution
1823,State Technical College of Missouri
1824,Logan University
1825,Metropolitan Community College-Kansas City
1826,Lutheran School of Nursing
1827,Maryville University of Saint Louis
1828,Merrell University of Beauty Arts and Science
1829,Midwest Institute
1830,Midwestern Baptist Theological Seminary
1831,Mineral Area College
1832,Missouri Baptist University
1833,Missouri Southern State University
1834,Missouri Valley College
1835,Missouri Western State University
1836,University of Missouri-Columbia
1837,University of Missouri-Kansas City
1838,Missouri University of Science and Technology
1839,University of Missouri-St Louis
1840,University of Missouri-System Office
1841,Moberly Area Community College
1842,Hillyard Technical Center
1843,Nazarene Theological Seminary
1844,Neosho Beauty College
1845,Truman State University
1846,Northwest Missouri State University
1847,Ozark Christian College
1848,College of the Ozarks
1849,Park University
1850,Stevens-The Institute of Business & Arts
1851,Poplar Bluff Technical Career Center
1852,Ranken Technical College
1853,Research College of Nursing
1854,Rockhurst University
1855,Rolla Technical Institute/Center
1856,Saint Louis University
1857,Salem College of Hairstyling
1858,American College of Hair Design Inc
1859,Saint Louis Christian College
1860,University of Health Sciences and Pharmacy in St. Louis
1861,Saint Louis Community College
1862,Saint Paul School of Theology
1863,Southwest Baptist University
1864,Missouri State University-West Plains
1865,Saint Luke's College of Health Sciences
1866,St Louis College of Health Careers-St Louis
1867,State Fair Community College
1868,Stephens College
1869,Southeast Missouri State University
1870,Missouri State University-Springfield
1871,Three Rivers College
1872,North Central Missouri College
1873,Kansas City University of Medicine and Biosciences
1874,Washington University in St Louis
1875,Webster University
1876,Westminster College
1877,William Jewell College
1878,William Woods University
1879,Academy of Cosmetology Inc
1880,Blackfeet Community College
1881,Butte Academy of Beauty Culture
1882,Highlands College of Montana Tech
1883,Crevier's Academy of Cosmetology Arts
1884,Carroll College
1885,Dawson Community College
1886,Chief Dull Knife College
1887,Montana State University Billings
1888,Flathead Valley Community College
1889,Aaniiih Nakoda College
1890,Fort Peck Community College
1891,Great Falls College Montana State University
1892,University of Providence
1893,Helena College University of Montana
1894,Little Big Horn College
1895,Miles Community College
1896,Montana Technological University
1897,Montana State University
1898,The University of Montana
1899,Montana State University-Northern
1900,Rocky Mountain College
1901,Salish Kootenai College
1902,The University of Montana-Western
1903,Yellowstone Christian College
1904,Bellevue University
1905,Clarkson College
1906,Bryan College of Health Sciences
1907,Central Community College
1908,Chadron State College
1909,College of Hair Design-Downtown
1910,Concordia University-Nebraska
1911,Creighton University
1912,Doane University
1913,Hastings College
1914,CHI Health School of Radiologic Technology
1915,Joseph's College Cosmetology
1916,University of Nebraska at Kearney
1917,Nebraska Methodist College of Nursing & Allied Health
1918,Metropolitan Community College Area
1919,Mid-Plains Community College
1920,Midland University
1921,Nebraska Christian College of Hope International University
1922,University of Nebraska at Omaha
1923,Nebraska Indian Community College
1924,University of Nebraska Medical Center
1925,Nebraska Wesleyan University
1926,University of Nebraska-Lincoln
1927,Northeast Community College
1928,Peru State College
1929,Summit Christian College
1930,College of Saint Mary
1931,Southeast Community College Area
1932,University of Nebraska-Central Administration System Office
1933,Nebraska College of Technical Agriculture
1934,Wayne State College
1935,Western Nebraska Community College
1936,York College
1937,Academy of Hair Design-Las Vegas
1938,Career College of Northern Nevada
1939,College of Southern Nevada
1940,Las Vegas College
1941,University of Nevada-Las Vegas
1942,University of Nevada-Reno
1943,Great Basin College
1944,Sierra Nevada University
1945,Truckee Meadows Community College
1946,Nevada System of Higher Education-System Office
1947,Western Nevada College
1948,Colby-Sawyer College
1949,Continental Academie of Hair Design-Hudson
1950,Dartmouth College
1951,Empire Beauty School-Laconia
1952,Empire Beauty School-Somersworth
1953,Franklin Pierce University
1954,University of New Hampshire-Franklin Pierce School of Law
1955,Keene Beauty Academy
1956,Magdalen College
1957,Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School
1958,New England College
1959,New England School of Hair Design
1960,Southern New Hampshire University
1961,New Hampshire Institute for Therapeutic Arts
1962,University of New Hampshire-Main Campus
1963,Keene State College
1964,University of New Hampshire at Manchester
1965,Plymouth State University
1966,NHTI-Concord's Community College
1967,White Mountains Community College
1968,River Valley Community College
1969,Lakes Region Community College
1970,Nashua Community College
1971,Great Bay Community College
1972,Paul Mitchell the School-Portsmouth
1973,Rivier University
1974,Saint Anselm College
1975,St Joseph School of Nursing
1976,Granite State College
1977,Thomas More College of Liberal Arts
1978,University System of New Hampshire System Office
1979,Eastwick College-Hackensack
1980,Assumption College for Sisters
1981,Atlantic Cape Community College
1982,Fortis Institute-Wayne
1983,Bergen Community College
1984,Berkeley College-Woodland Park
1985,Beth Medrash Govoha
1986,Bloomfield College
1987,Brookdale Community College
1988,Rowan College at Burlington County
1989,Caldwell University
1990,Camden County College
1991,Centenary University
1992,Adult and Continuing Education-BCTS
1993,Branford Hall Career Institute-Parsippany
1994,Lincoln Technical Institute-Iselin
1995,American Institute-Clifton
1996,County College of Morris
1997,Cumberland County College
1998,Divers Academy International
1999,Drew University
2000,Lincoln Technical Institute-South Plainfield
2001,Essex County College
2002,Empire Beauty School-Union
2003,Fairleigh Dickinson University-Metropolitan Campus
2004,Felician University
2005,Fairleigh Dickinson University-Florham Campus
2006,Hohokus School of Trade and Technical Sciences
2007,Georgian Court University
2008,Rowan University
2009,Rowan College of South Jersey Gloucester Campus
2010,Empire Beauty School-Cherry Hill
2011,Harris School of Business-Cherry Hill Campus
2012,Eastwick College-Ramsey
2013,Holy Name Medical Center-Sister Claire Tynan School of Nursing
2014,Hudson County Community College
2015,New Jersey City University
2016,Joe Kubert School of Cartoon and Graphic Art
2017,Kean University
2018,Harris School of Business-Voorhees Campus
2019,Lincoln Technical Institute-Union
2020,Rizzieri Aveda School for Beauty and Wellness
2021,Mercer County Community College
2022,Middlesex County College
2023,Monmouth University
2024,Montclair State University
2025,JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools
2026,Eastwick College-Nutley
2027,New Brunswick Theological Seminary
2028,Robert Fiance Beauty Schools-West New York
2029,New Jersey Institute of Technology
2030,Ocean County College
2031,P B Cosmetology Education Center
2032,Parisian Beauty School
2033,Passaic County Community College
2034,Pennco Tech-Blackwood
2035,Princeton Theological Seminary
2036,Princeton University
2037,Rabbinical College of America
2038,Ramapo College of New Jersey
2039,Robert Fiance Beauty Schools
2040,Rider University
2041,Rutgers University-Camden
2042,Rutgers University-New Brunswick
2043,Rutgers University-Newark
2044,St Francis Medical Center-School of Radiologic Technology
2045,Saint Francis Medical Center School of Nursing
2046,Saint Peter's University
2047,Salem Community College
2048,Seton Hall University
2049,Atlantic Beauty & Spa Academy LLC
2050,Saint Elizabeth University
2051,Raritan Valley Community College
2052,Stevens Institute of Technology
2053,Stockton University
2054,Talmudical Academy-New Jersey
2055,Teterboro School of Aeronautics
2056,Thomas Edison State University
2057,The College of New Jersey
2058,Union County College
2059,William Paterson University of New Jersey
2060,Olympian Academy of Cosmetology
2061,Central New Mexico Community College
2062,Navajo Technical University
2063,New Mexico State University-Dona Ana
2064,Clovis Community College
2065,Eastern New Mexico University-Main Campus
2066,Eastern New Mexico University-Roswell Campus
2067,Institute of American Indian and Alaska Native Culture and Arts Development
2068,New Mexico Highlands University
2069,New Mexico Junior College
2070,New Mexico Military Institute
2071,University of New Mexico-Gallup Campus
2072,New Mexico Institute of Mining and Technology
2073,University of New Mexico-Los Alamos Campus
2074,University of New Mexico-Main Campus
2075,New Mexico State University-Alamogordo
2076,New Mexico State University-Carlsbad
2077,New Mexico State University-Grants
2078,New Mexico State University-Main Campus
2079,University of New Mexico-Valencia County Campus
2080,Northern New Mexico College
2081,San Juan College
2082,Santa Fe Community College
2083,University of the Southwest
2084,Southwestern Indian Polytechnic Institute
2085,University of New Mexico-Taos Campus
2086,Mesalands Community College
2087,Vogue College of Cosmetology-Santa Fe
2088,Western New Mexico University
2089,Vaughn College of Aeronautics and Technology
2090,Adelphi University
2091,SUNY Adirondack
2092,Bryant & Stratton College-Albany
2093,Albany College of Pharmacy and Health Sciences
2094,Albany Law School
2095,Albany Medical College
2096,Alfred University
2097,Allen School-Brooklyn
2098,The Ailey School
2099,American Academy of Dramatic Arts-New York
2100,American Academy McAllister Institute of Funeral Service
2101,Joffrey Ballet School
2102,American Musical and Dramatic Academy
2103,Apex Technical School
2104,Arnot Ogden Medical Center
2105,Associated Beth Rivkah Schools
2106,Bank Street College of Education
2107,Bard College
2108,Barnard College
2109,Berk Trade and Business School
2110,Berkeley College-New York
2111,Berkowits School of Electrolysis
2112,Beth Hamedrash Shaarei Yosher Institute
2113,Phillips School of Nursing at Mount Sinai Beth Israel
2114,Brittany Beauty Academy
2115,Boricua College
2116,American Beauty School
2117,Brooklyn Law School
2118,SUNY Broome Community College
2119,Bryant & Stratton College-Syracuse North
2120,Bryant & Stratton College-Buffalo
2121,Bryant & Stratton College-Greece
2122,Canisius College
2123,Capri Cosmetology Learning Centers
2124,St Paul's School of Nursing-Queens
2125,Cayuga County Community College
2126,Cazenovia College
2127,Central Yeshiva Tomchei Tmimim Lubavitz
2128,Christ the King Seminary
2129,"Christine Valmy International School for Esthetics, Skin Care & Makeup"
2130,Circle in the Square Theatre School
2131,CUNY System Office
2132,Clarkson University
2133,Clinton Community College
2134,Cochran School of Nursing
2135,Colgate Rochester Crozer Divinity School
2136,Colgate University
2137,Metropolitan College of New York
2138,Columbia University in the City of New York
2139,Columbia-Greene Community College
2140,Empire Beauty School-Queens
2141,Concordia College
2142,Continental School of Beauty Culture-Rochester
2143,Cooper Union for the Advancement of Science and Art
2144,Cornell University
2145,Weill Medical College of Cornell University
2146,SUNY Corning Community College
2147,Pomeroy College of Nursing at Crouse Hospital
2148,Culinary Institute of America
2149,CUNY Bernard M Baruch College
2150,CUNY Borough of Manhattan Community College
2151,CUNY Bronx Community College
2152,CUNY Brooklyn College
2153,College of Staten Island CUNY
2154,CUNY City College
2155,CUNY Graduate School and University Center
2156,CUNY Hostos Community College
2157,CUNY Hunter College
2158,CUNY John Jay College of Criminal Justice
2159,CUNY Kingsborough Community College
2160,CUNY LaGuardia Community College
2161,CUNY Lehman College
2162,CUNY Medgar Evers College
2163,CUNY New York City College of Technology
2164,CUNY Queens College
2165,CUNY Queensborough Community College
2166,CUNY School of Law
2167,CUNY York College
2168,CVPH Medical Center School of Radiologic Technology
2169,D'Youville College
2170,Daemen College
2171,Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary
2172,Dominican College of Blauvelt
2173,Dutchess Community College
2174,Belanger School of Nursing
2175,Elmira Business Institute
2176,Elmira College
2177,Erie Community College
2178,Fashion Institute of Technology
2179,Finger Lakes Community College
2180,Five Towns College
2181,Fordham University
2182,The International Culinary Center
2183,Fulton-Montgomery Community College
2184,Gemological Institute of America-New York
2185,The General Theological Seminary
2186,Genesee Community College
2187,Hamilton College
2188,Hartwick College
2189,Helene Fuld College of Nursing
2190,Herkimer County Community College
2191,Hilbert College
2192,Hobart William Smith Colleges
2193,Hofstra University
2194,Houghton College
2195,Hudson Valley Community College
2196,Hunter Business School
2197,Iona College
2198,Isabella Graham Hart School of Practical Nursing
2199,Island Drafting and Technical Institute
2200,Ithaca College
2201,Jamestown Community College
2202,Jamestown Business College
2203,Jefferson Community College
2204,Jewish Theological Seminary of America
2205,The Juilliard School
2206,Kehilath Yakov Rabbinical Seminary
2207,Keuka College
2208,LIM College
2209,Le Moyne College
2210,Long Island University
2211,Long Island Beauty School-Hempstead
2212,Long Island Business Institute
2213,Machzikei Hadath Rabbinical College
2214,Mandl School-The College of Allied Health
2215,Manhattan College
2216,Manhattan School of Music
2217,Manhattanville College
2218,Maria College of Albany
2219,Marion S Whelan School of Nursing of Geneva General Hospital
2220,Marist College
2221,Marymount Manhattan College
2222,Medaille College
2223,St. Peter's Hospital College of Nursing
2224,Memorial Hospital School of Radiation Therapy Technology
2225,Mercy College
2226,Mesivta Torah Vodaath Rabbinical Seminary
2227,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech
2228,Mesivtha Tifereth Jerusalem of America
2229,Southern Westchester BOCES-Practical Nursing Program
2230,Midway Paris Beauty School
2231,Mildred Elley School-Albany Campus
2232,Mirrer Yeshiva Cent Institute
2233,Modern Welding School
2234,Mohawk Valley Community College
2235,Molloy College
2236,Monroe College
2237,Monroe Community College
2238,Mount Saint Mary College
2239,Montefiore School of Nursing
2240,College of Mount Saint Vincent
2241,Icahn School of Medicine at Mount Sinai
2242,Nassau Community College
2243,Nazareth College
2244,Neighborhood Playhouse School of the Theater
2245,The New School
2246,The New School Center for Media
2247,New York Chiropractic College
2248,New York Law School
2249,New York Medical College
2250,New York School for Medical and Dental Assistants
2251,New York Theological Seminary
2252,New York University
2253,Niagara County Community College
2254,Niagara University
2255,Empire Beauty School-Peekskill
2256,North Country Community College
2257,New York College of Podiatric Medicine
2258,New York Institute of Technology
2259,New York School of Interior Design
2260,Nyack College
2261,Ohr Hameir Theological Seminary
2262,Onondaga Community College
2263,Orange County Community College
2264,Otsego Area BOCES-Practical Nursing Program
2265,Pace University
2266,Paul Smiths College of Arts and Science
2267,Continental School of Beauty Culture-West Seneca
2268,Plaza College
2269,Davis College
2270,Pratt Institute-Main
2271,Rabbinical Academy Mesivta Rabbi Chaim Berlin
2272,Rabbinical College Bobover Yeshiva Bnei Zion
2273,Rabbinical College Beth Shraga
2274,Rabbinical Seminary Mkor Chaim
2275,Rabbinical College of Long Island
2276,Rabbinical Seminary of America
2277,Rensselaer Polytechnic Institute
2278,Roberts Wesleyan College
2279,Rochester Institute of Technology
2280,University of Rochester
2281,Rockefeller University
2282,Rockland Community College
2283,Empire Beauty School-Manhattan
2284,Russell Sage College
2285,St Bernard's School of Theology and Ministry
2286,St Bonaventure University
2287,St Francis College
2288,St. Joseph's College of Nursing
2289,St Lawrence University
2290,The College of Saint Rose
2291,St. Thomas Aquinas College
2292,Samaritan Hospital School of Nursing
2293,Sarah Lawrence College
2294,Schenectady County Community College
2295,Sh'or Yoshuv Rabbinical College
2296,Siena College
2297,Skidmore College
2298,St. Joseph's College-New York
2299,St. Joseph's College-Long Island
2300,Saint Vladimirs Orthodox Theological Seminary
2301,Saint Elizabeth College of Nursing
2302,Saint John Fisher College
2303,St Paul's School of Nursing-Staten Island
2304,St. John's University-New York
2305,SUNY-System Office
2306,Sullivan County Community College
2307,SUNY College of Technology at Alfred
2308,SUNY College of Technology at Canton
2309,SUNY College of Technology at Delhi
2310,SUNY College of Agriculture and Technology at Cobleskill
2311,Farmingdale State College
2312,SUNY Morrisville
2313,SUNY at Albany
2314,Binghamton University
2315,University at Buffalo
2316,Stony Brook University
2317,SUNY College of Environmental Science and Forestry
2318,SUNY Polytechnic Institute
2319,SUNY Brockport
2320,SUNY Buffalo State
2321,SUNY Cortland
2322,SUNY at Fredonia
2323,SUNY College at Geneseo
2324,State University of New York at New Paltz
2325,SUNY Oneonta
2326,SUNY College at Oswego
2327,SUNY College at Potsdam
2328,SUNY at Purchase College
2329,SUNY College of Optometry
2330,SUNY College at Old Westbury
2331,SUNY College at Plattsburgh
2332,SUNY Downstate Health Sciences University
2333,SUNY Empire State College
2334,SUNY Maritime College
2335,Upstate Medical University
2336,Swedish Institute a College of Health Sciences
2337,Syracuse University
2338,Talmudical Seminary Oholei Torah
2339,Talmudical Institute of Upstate New York
2340,Teachers College at Columbia University
2341,Tompkins Cortland Community College
2342,Torah Temimah Talmudical Seminary
2343,Touro College
2344,Trocaire College
2345,Excelsior College
2346,Ulster County Community College
2347,Union Theological Seminary in the City of New York
2348,United Talmudical Seminary
2349,United States Merchant Marine Academy
2350,United States Military Academy
2351,Utica College
2352,Vassar College
2353,Villa Maria College
2354,School of Visual Arts
2355,Wagner College
2356,Webb Institute
2357,Wells College
2358,The College of Westchester
2359,SUNY Westchester Community College
2360,Westchester School of Beauty Culture
2361,Word of Life Bible Institute
2362,Yeshiva Karlin Stolin
2363,Yeshiva Derech Chaim
2364,Yeshiva of Nitra Rabbinical College
2365,Yeshiva Shaar Hatorah
2366,Yeshiva University
2367,Yeshivath Viznitz
2368,Yeshivath Zichron Moshe
2369,College of the Albemarle
2370,South Piedmont Community College
2371,Appalachian State University
2372,Asheville-Buncombe Technical Community College
2373,Barton College
2374,Beaufort County Community College
2375,Belmont Abbey College
2376,Bennett College
2377,Bladen Community College
2378,Blue Ridge Community College
2379,Brevard College
2380,Brunswick Community College
2381,Cabarrus College of Health Sciences
2382,Caldwell Community College and Technical Institute
2383,Campbell University
2384,Cape Fear Community College
2385,Carolina School of Broadcasting
2386,Carteret Community College
2387,Catawba College
2388,Catawba Valley Community College
2389,Central Carolina Community College
2390,Central Piedmont Community College
2391,Chowan University
2392,Cleveland Community College
2393,Coastal Carolina Community College
2394,Craven Community College
2395,Davidson County Community College
2396,Davidson College
2397,Duke University
2398,Durham Technical Community College
2399,East Carolina University
2400,Edgecombe Community College
2401,Elizabeth City State University
2402,Elon University
2403,Fayetteville Technical Community College
2404,Fayetteville State University
2405,Forsyth Technical Community College
2406,Gardner-Webb University
2407,Gaston College
2408,Greensboro College
2409,Guilford College
2410,Guilford Technical Community College
2411,Halifax Community College
2412,Haywood Community College
2413,Heritage Bible College
2414,High Point University
2415,Isothermal Community College
2416,James Sprunt Community College
2417,Johnson C Smith University
2418,Johnston Community College
2419,Lees-McRae College
2420,Lenoir Community College
2421,Lenoir-Rhyne University
2422,Leons Beauty School Inc
2423,Livingstone College
2424,Louisburg College
2425,Mars Hill University
2426,Martin Community College
2427,Mayland Community College
2428,McDowell Technical Community College
2429,Meredith College
2430,Methodist University
2431,Platt College-Miller-Motte-Wilmington
2432,Mitchell Community College
2433,Mitchells Academy
2434,Montgomery Community College
2435,Montreat College
2436,University of Mount Olive
2437,College of Wilmington
2438,Nash Community College
2439,North Carolina A & T State University
2440,University of North Carolina at Asheville
2441,University of North Carolina at Chapel Hill
2442,University of North Carolina at Charlotte
2443,University of North Carolina at Greensboro
2444,North Carolina Central University
2445,University of North Carolina System
2446,University of North Carolina School of the Arts
2447,North Carolina State University at Raleigh
2448,North Carolina Wesleyan College
2449,University of North Carolina Wilmington
2450,Pamlico Community College
2451,William Peace University
2452,University of North Carolina at Pembroke
2453,Pfeiffer University
2454,Piedmont Community College
2455,Pitt Community College
2456,Queens University of Charlotte
2457,Randolph Community College
2458,Richmond Community College
2459,Mid-Atlantic Christian University
2460,Roanoke-Chowan Community College
2461,Robeson Community College
2462,Rockingham Community College
2463,Rowan-Cabarrus Community College
2464,Saint Augustine's University
2465,Salem College
2466,Sampson Community College
2467,Sandhills Community College
2468,Shaw University
2469,Paul Mitchell the School-Fayetteville
2470,St. Andrews University
2471,Stanly Community College
2472,Southeastern Baptist Theological Seminary
2473,Surry Community College
2474,Alamance Community College
2475,Tri-County Community College
2476,Vance-Granville Community College
2477,Wake Forest University
2478,Wake Technical Community College
2479,Warren Wilson College
2480,Watts School of Nursing
2481,Wayne Community College
2482,Western Piedmont Community College
2483,Wilkes Community College
2484,Wilson Community College
2485,Wingate University
2486,Carolina Christian College
2487,Winston Salem Barber School
2488,Winston-Salem State University
2489,Western Carolina University
2490,Rasmussen University-North Dakota
2491,Bismarck State College
2492,Dickinson State University
2493,Nueta Hidatsa Sahnish College
2494,"Josef's School of Hair, Skin & Body-Grand Forks"
2495,University of Jamestown
2496,Lake Region State College
2497,Cankdeska Cikana Community College
2498,University of Mary
2499,Mayville State University
2500,Minot State University
2501,University of North Dakota
2502,North Dakota State College of Science
2503,Dakota College at Bottineau
2504,North Dakota State University-Main Campus
2505,Williston State College
2506,Sitting Bull College
2507,Trinity Bible College and Graduate School
2508,Turtle Mountain Community College
2509,United Tribes Technical College
2510,Valley City State University
2511,ETI Technical College
2512,Air Force Institute of Technology-Graduate School of Engineering & Management
2513,Herzing University-Akron
2514,University of Akron Main Campus
2515,University of Akron Wayne College
2516,Allegheny Wesleyan College
2517,Apollo Career Center
2518,Art Academy of Cincinnati
2519,Ashland County-West Holmes Career Center
2520,Ashland University
2521,Ashtabula County Technical and Career Campus
2522,Athenaeum of Ohio
2523,Auburn Career Center
2524,Aultman College of Nursing and Health Sciences
2525,Baldwin Wallace University
2526,Belmont College
2527,Bluffton University
2528,Bowling Green State University-Firelands
2529,Bowling Green State University-Main Campus
2530,Bryant & Stratton College-Parma
2531,Buckeye Hills Career Center
2532,Butler Technology and Career Development Schools
2533,Canton City Schools Adult Career and Technical Education
2534,Capital University
2535,Case Western Reserve University
2536,Cedarville University
2537,Central Ohio Technical College
2538,Central School of Practical Nursing
2539,Central State University
2540,Chatfield College
2541,Choffin Career  and Technical Center
2542,The Christ College of Nursing and Health Sciences
2543,Cincinnati College of Mortuary Science
2544,University of Cincinnati-Main Campus
2545,Cincinnati State Technical and Community College
2546,University of Cincinnati-Clermont College
2547,University of Cincinnati-Blue Ash College
2548,Ohio Christian University
2549,Clark State Community College
2550,Scott College of Cosmetology
2551,Cleveland Institute of Art
2552,Cleveland Institute of Music
2553,Cleveland State University
2554,Columbiana County Career and Technical Center
2555,Bradford School
2556,Columbus College of Art and Design
2557,Columbus State Community College
2558,Cuyahoga Community College District
2559,Dayton Barber College
2560,University of Dayton
2561,Defiance College
2562,Denison University
2563,Edison State Community College
2564,EHOVE Career Center
2565,The University of Findlay
2566,Franklin University
2567,Gerbers Akron Beauty School
2568,Gods Bible School and College
2569,Good Samaritan College of Nursing and Health Science
2570,Great Oaks Career Campuses
2571,Hannah E Mullins School of Practical Nursing
2572,Adult and Community Education-Hudson
2573,Hebrew Union College-Jewish Institute of Religion
2574,Heidelberg University
2575,Hiram College
2576,Hobart Institute of Welding Technology
2577,Hocking College
2578,Ross Medical Education Center-Cincinnati
2579,International College of Broadcasting
2580,Eastern Gateway Community College
2581,John Carroll University
2582,Hondros College of Nursing
2583,Casal Aveda Institute
2584,Kent State University at Ashtabula
2585,Kent State University at East Liverpool
2586,Kent State University at Stark
2587,Kent State University at Trumbull
2588,Kent State University at Tuscarawas
2589,Kent State University at Salem
2590,Kent State University at Kent
2591,Kent State University at Geauga
2592,Kenyon College
2593,Kettering College
2594,Lake Erie College
2595,Lakeland Community College
2596,O C Collins Career Center
2597,James A Rhodes State College
2598,Ohio Business College-Sheffield
2599,Ohio Business College-Sandusky
2600,Lorain County Community College
2601,Lourdes University
2602,Malone University
2603,Marietta College
2604,Marion Technical College
2605,Medina County Career Center
2606,Mercy College of Ohio
2607,Methodist Theological School in Ohio
2608,Miami University-Hamilton
2609,Miami University-Middletown
2610,Miami University-Oxford
2611,Moler Hollywood Beauty Academy
2612,Miami Valley Career Technology Center
2613,Mount Carmel College of Nursing
2614,University of Mount Union
2615,Mount Vernon Nazarene University
2616,Mount Saint Joseph University
2617,Zane State College
2618,Muskingum University
2619,National Beauty College
2620,North Central State College
2621,Northern Institute of Cosmetology
2622,Northwest State Community College
2623,Toledo Public Schools Adult and Continuing Education
2624,Notre Dame College
2625,Northeast Ohio Medical University
2626,University of Northwestern Ohio
2627,Oberlin College
2628,Ohio Technical College
2629,Ohio Dominican University
2630,Ohio Northern University
2631,Ohio State University Agricultural Technical Institute
2632,Ohio State University-Lima Campus
2633,Ohio State University-Mansfield Campus
2634,Ohio State University-Marion Campus
2635,Ohio State University-Newark Campus
2636,Ohio State Beauty Academy
2637,Ohio State College of Barber Styling
2638,The Spa School
2639,Ohio State School of Cosmetology-Canal Winchester
2640,Ohio State University-Main Campus
2641,Ohio University-Eastern Campus
2642,Ohio University-Chillicothe Campus
2643,Ohio University-Southern Campus
2644,Ohio University-Lancaster Campus
2645,Ohio University-Main Campus
2646,Ohio University-Zanesville Campus
2647,Ohio Valley College of Technology
2648,Trinity Health System School of Nursing
2649,Ohio Wesleyan University
2650,Otterbein University
2651,Owens Community College
2652,Paramount Beauty Academy
2653,Cuyahoga Valley Career Center
2654,Payne Theological Seminary
2655,Pontifical College Josephinum
2656,Professional Skills Institute
2657,Firelands Regional Medical Center School of Nursing
2658,Rabbinical College Telshe
2659,Raphael's School of Beauty Culture Inc-Niles
2660,Fortis College-Centerville
2661,University of Rio Grande
2662,The Modern College of Design
2663,Shawnee State University
2664,Sinclair Community College
2665,Hussian College-Daymar College Columbus
2666,Stark State College
2667,Stautzenberger College-Maumee
2668,Franciscan University of Steubenville
2669,Southern State Community College
2670,Terra State Community College
2671,Tiffin Academy of Hair Design
2672,Tiffin University
2673,University of Toledo
2674,Tri-State Bible College
2675,Tri-County Adult Career Center
2676,Tri-Rivers Career Center
2677,Union Institute & University
2678,United Theological Seminary
2679,Upper Valley Career Center
2680,Ursuline College
2681,The North Coast College
2682,Walsh University
2683,Washington State Community College
2684,Wilberforce University
2685,Wilmington College
2686,Winebrenner Theological Seminary
2687,Wittenberg University
2688,The College of Wooster
2689,Wright State University-Main Campus
2690,Wright State University-Lake Campus
2691,Xavier University
2692,Youngstown State University
2693,Bacone College
2694,Oklahoma Wesleyan University
2695,Southern Nazarene University
2696,Pontotoc Technology Center
2697,Cameron University
2698,Carl Albert State College
2699,Central Oklahoma College
2700,University of Central Oklahoma
2701,Connors State College
2702,East Central University
2703,Eastern Oklahoma State College
2704,Redlands Community College
2705,Enid Beauty College
2706,Eves College of Hairstyling
2707,Randall University
2708,Langston University
2709,Murray State College
2710,Northeastern State University
2711,Beauty Technical College Inc
2712,Northern Oklahoma College
2713,Northeastern Oklahoma A&M College
2714,Northwestern Oklahoma State University
2715,Oklahoma State University Center for Health Sciences
2716,Oklahoma Christian University
2717,University of Oklahoma-Health Sciences Center
2718,Oklahoma Panhandle State University
2719,Oklahoma State University-Main Campus
2720,Oklahoma State University-Oklahoma City
2721,Oklahoma Baptist University
2722,Oklahoma City Community College
2723,Oklahoma City University
2724,University of Oklahoma-Norman Campus
2725,Oklahoma State University Institute of Technology
2726,Oral Roberts University
2727,Rogers State University
2728,Rose State College
2729,Jenks Beauty College
2730,University of Science and Arts of Oklahoma
2731,Seminole State College
2732,Southern School of Beauty Inc
2733,Southeastern Oklahoma State University
2734,Southwestern Christian University
2735,Southwestern Oklahoma State University
2736,Tulsa Community College
2737,Tulsa Welding School-Tulsa
2738,University of Tulsa
2739,Western Oklahoma State College
2740,Formations Institute of Cosmetology & Barbering
2741,High Plains Technology Center
2742,Paul Mitchell the School-Portland
2743,Blue Mountain Community College
2744,Central Oregon Community College
2745,Chemeketa Community College
2746,Clackamas Community College
2747,Clatsop Community College
2748,College of Hair Design Careers
2749,Concorde Career College-Portland
2750,Concordia University-Portland
2751,Sumner College
2752,East West College of the Healing Arts
2753,Eastern Oregon University
2754,New Hope Christian College-Eugene
2755,George Fox University
2756,Phagans Grants Pass College of Beauty
2757,Lane Community College
2758,Lewis & Clark College
2759,Linfield University-McMinnville Campus
2760,Linn-Benton Community College
2761,Northwest College-Beaverton
2762,Phagans Medford Beauty School
2763,Northwest College-Clackamas
2764,Mount Angel Seminary
2765,Mt Hood Community College
2766,Multnomah University
2767,National University of Natural Medicine
2768,Bushnell University
2769,Oregon Health & Science University
2770,Oregon Institute of Technology
2771,Oregon State University
2772,University of Oregon
2773,Pacific Northwest College of Art
2774,Pacific University
2775,Phagans Beauty College
2776,Phagans Central Oregon Beauty College
2777,Phagans School of Beauty
2778,Phagans School of Hair Design
2779,Summit Salon Academy-Portland
2780,Portland Community College
2781,Portland State University
2782,University of Portland
2783,Reed College
2784,Rogue Community College
2785,Pioneer Pacific College
2786,Southern Oregon University
2787,Southwestern Oregon Community College
2788,Treasure Valley Community College
2789,Umpqua Community College
2790,Warner Pacific University
2791,Corban University
2792,College of Cosmetology
2793,Western Seminary
2794,Willamette University
2795,Western Oregon University
2796,University of Western States
2797,Jolie Hair and Beauty Academy-Hazleton
2798,Bryn Athyn College of the New Church
2799,Academy of Vocal Arts
2800,Albright College
2801,All-State Career School
2802,Community College of Allegheny County
2803,Allegheny College
2804,The  Beauty Institute
2805,DeSales University
2806,Altoona Beauty School Inc
2807,Alvernia University
